index1,index2,similarity,citing1,cited1,citing2,cited2,remove_row
3,7814,0.8820058997050148,d9f3207db0c79a3b154f3875c9760cc6b056904b,2cc6ff899bf17666ad35893524a4d61624555ed7,d9f3207db0c79a3b154f3875c9760cc6b056904b,2cc6ff899bf17666ad35893524a4d61624555ed7,7814
11,1170,0.601063829787234,929a7548464ce1d9d785abbe35da34842c0133e6,21096eb950bdff77308ad3924d69b681589bdc91,929a7548464ce1d9d785abbe35da34842c0133e6,21096eb950bdff77308ad3924d69b681589bdc91,11
11,7819,0.6287878787878788,929a7548464ce1d9d785abbe35da34842c0133e6,21096eb950bdff77308ad3924d69b681589bdc91,929a7548464ce1d9d785abbe35da34842c0133e6,21096eb950bdff77308ad3924d69b681589bdc91,7819
20,3204,0.6545454545454545,2bc41c1556884d73206abcb0f0c3812e4bef205b,d91ae7f9c252cc67980a19231970ee249fcbd92e,2bc41c1556884d73206abcb0f0c3812e4bef205b,d91ae7f9c252cc67980a19231970ee249fcbd92e,3204
31,4912,0.99438202247191,efaa33b745b1420d6bf13873a4df09680c7984e0,eb08d5a6852228a7b45deb22f1bf4dde945020c6,efaa33b745b1420d6bf13873a4df09680c7984e0,eb08d5a6852228a7b45deb22f1bf4dde945020c6,31
36,5111,0.6357308584686775,38f75407e33adf753372ad61a05761abff2bd9b1,8067ef3a4a8c620f615368408a811747cacb15dc,38f75407e33adf753372ad61a05761abff2bd9b1,8067ef3a4a8c620f615368408a811747cacb15dc,36
41,1218,0.7035398230088495,ad241e15eb1e767b6a8bf91e081ba89fa1784d84,88ed7f5b40fbe4f1d212b2967eff5cba78c85d75,ad241e15eb1e767b6a8bf91e081ba89fa1784d84,88ed7f5b40fbe4f1d212b2967eff5cba78c85d75,41
45,3425,0.62004662004662,a90db26255bf4bd0251dd1d6d3c48af2eb4072ac,41d7d2f90f1c139a9537a1be239e9c823ea22646,a90db26255bf4bd0251dd1d6d3c48af2eb4072ac,41d7d2f90f1c139a9537a1be239e9c823ea22646,3425
52,1405,0.9829059829059827,10f06d20a2bdecc69cb1d253d30ecad4b2c69405,31a2353cc61f4e73c7eee8f3c1a03ebf13373ee6,10f06d20a2bdecc69cb1d253d30ecad4b2c69405,31a2353cc61f4e73c7eee8f3c1a03ebf13373ee6,1405
54,7215,0.7824773413897281,fbea85be172e21855cee46d6209bae3f95941ff3,17f2bd869df15476815b6d6a98d9a3184ea6c714,fbea85be172e21855cee46d6209bae3f95941ff3,17f2bd869df15476815b6d6a98d9a3184ea6c714,7215
57,1428,0.9816971713810316,6456c9c786e55a6232fb8ab9d6fff3c50d5fc2c1,f589dd5ca77e324b57154ffb843cf9857e94d33e,6456c9c786e55a6232fb8ab9d6fff3c50d5fc2c1,f589dd5ca77e324b57154ffb843cf9857e94d33e,57
58,3453,0.6813186813186813,0fd548a07b8d113f5f6a6255abe191668120ac53,74809ba2f3834024b56f5b0784655b1435708c60,0fd548a07b8d113f5f6a6255abe191668120ac53,74809ba2f3834024b56f5b0784655b1435708c60,58
84,4503,0.9912434325744308,1834ab3cb84bd4c5de9ff26e6cd206dbf44b993d,74677094ba4fb0f7a6297326b4c9cf8e6ea1fce2,1834ab3cb84bd4c5de9ff26e6cd206dbf44b993d,74677094ba4fb0f7a6297326b4c9cf8e6ea1fce2,84
90,2285,0.7913669064748201,6ac4a33dcce8c8821ffd16c1f8d4d23a27f4a506,6186e70a6bc014d7d5b82a4649574ef25e7b7ec0,6ac4a33dcce8c8821ffd16c1f8d4d23a27f4a506,6186e70a6bc014d7d5b82a4649574ef25e7b7ec0,2285
104,535,0.9863013698630136,b7e0dd1b46093fcf7aa87ca447193a7f3ccbe22a,3958baf5b8b755ef9541ab17a2f101a0a6e246fe,b7e0dd1b46093fcf7aa87ca447193a7f3ccbe22a,3958baf5b8b755ef9541ab17a2f101a0a6e246fe,104
111,4854,0.8706365503080082,867e2293e9780b729705b4ba48d6b11e3778e999,34cdcf6af7feb25dacf3ebf1067f953f9cc0e704,867e2293e9780b729705b4ba48d6b11e3778e999,34cdcf6af7feb25dacf3ebf1067f953f9cc0e704,111
131,3351,0.8609523809523809,9d10103f5056b6b650245395b3a1ee49df9d5199,2ae69afebf2f5f68f646c31ef8d7028bf0193ed5,9d10103f5056b6b650245395b3a1ee49df9d5199,2ae69afebf2f5f68f646c31ef8d7028bf0193ed5,3351
141,3791,0.9834710743801652,af794c74a2bfd33336bca2a410ed42a978d98a89,691576326d898a7e56628c7775eb1acd93316a58,af794c74a2bfd33336bca2a410ed42a978d98a89,691576326d898a7e56628c7775eb1acd93316a58,3791
144,3127,0.7210718635809987,c6d36125efb4ab7d6b762533ea0713fb71b2e6dc,fedbdd871ff0f366be43bcb5b03d0f326e50612e,c6d36125efb4ab7d6b762533ea0713fb71b2e6dc,fedbdd871ff0f366be43bcb5b03d0f326e50612e,3127
146,1626,0.8005822416302766,1e07b16fb589780721887f60271a8b1c2868fb8b,40c5741dc18ca03e625306b5bbf6622d097176a3,1e07b16fb589780721887f60271a8b1c2868fb8b,40c5741dc18ca03e625306b5bbf6622d097176a3,1626
148,4394,0.9863013698630136,6779b348a0a191209db3364c35b385b2cb689ccb,566559c6efaca4701bf8c1099b6ecd9ba41b0ee6,6779b348a0a191209db3364c35b385b2cb689ccb,566559c6efaca4701bf8c1099b6ecd9ba41b0ee6,148
150,807,0.9428571428571428,000d8d128bc8b44b25970374b4ac274b83e5cfc1,d610bcbd3f209564b658758dfa2be77a4517d658,000d8d128bc8b44b25970374b4ac274b83e5cfc1,d610bcbd3f209564b658758dfa2be77a4517d658,150
151,1981,0.9461663947797716,45701ff05d3ed583a658f18aa998944c1d4eee7a,f89d87e5f4d58e9bb7d576ec6ae34a84240b9c5e,45701ff05d3ed583a658f18aa998944c1d4eee7a,f89d87e5f4d58e9bb7d576ec6ae34a84240b9c5e,151
